,0,1,2,3,4,5,6,7,8,9
0,"(564.3678, 436.7328)","(564.3588, 436.72424)","(564.35535, 436.71228)","(564.34625, 436.70554)","(564.34546, 436.71127)","(564.3495, 436.71268)","(564.3479, 436.71304)","(564.344, 436.71118)","(564.3439, 436.7121)","(564.3439, 436.71338)"
1,"(902.70026, 528.3942)","(902.7097, 528.4098)","(902.7163, 528.4319)","(902.72754, 528.4495)","(902.727, 528.444)","(902.7334, 528.4402)","(902.7412, 528.4338)","(902.7425, 528.4297)","(902.74023, 528.4244)","(902.73944, 528.41956)"
2,"(838.829, 549.03754)","(838.8465, 548.99066)","(838.86096, 548.9415)","(838.88086, 548.89667)","(838.8892, 548.8819)","(838.906, 548.8604)","(838.9218, 548.84674)","(838.9407, 548.82574)","(838.9396, 548.8195)","(838.9394, 548.8125)"
3,"(540.9954, 352.02145)","(541.0703, 352.09503)","(541.1334, 352.16162)","(541.2028, 352.22507)","(541.2064, 352.23502)","(541.207, 352.2419)","(541.206, 352.24283)","(541.21014, 352.24515)","(541.23236, 352.24518)","(541.2587, 352.2436)"
4,"(541.43524, 465.22977)","(541.4339, 465.22986)","(541.433, 465.23114)","(541.42896, 465.2318)","(541.427, 465.2328)","(541.4265, 465.23264)","(541.4265, 465.234)","(541.42474, 465.23367)","(541.4259, 465.23376)","(541.4267, 465.23264)"
5,"(707.9701, 160.80843)","(707.96735, 160.8002)","(707.96344, 160.79225)","(707.9641, 160.79654)","(707.96545, 160.79382)","(707.9657, 160.79126)","(707.96454, 160.78497)","(707.96643, 160.788)","(707.96643, 160.78159)","(707.9712, 160.77719)"
6,"(464.51437, 513.37616)","(464.58243, 513.35333)","(464.4569, 513.37964)","(464.33972, 513.3981)","(464.38766, 513.38257)","(464.4404, 513.3688)","(464.3183, 513.37756)","(464.2063, 513.39453)","(464.34448, 513.36835)","(464.1907, 513.37744)"
7,"(649.47015, 637.41693)","(649.45465, 637.40533)","(649.44116, 637.3932)","(649.4225, 637.3907)","(649.4032, 637.38745)","(649.3849, 637.38885)","(649.3667, 637.39105)","(649.34924, 637.3996)","(649.3413, 637.39655)","(649.3378, 637.39136)"
8,"(604.06006, 346.0403)","(604.0592, 346.0453)","(604.06085, 346.05115)","(604.06024, 346.0544)","(604.064, 346.06302)","(604.0688, 346.0678)","(604.07166, 346.073)","(604.07385, 346.0731)","(604.07385, 346.0731)","(604.0738, 346.07303)"
9,"(1023.1187, 543.97345)","(1023.1468, 543.8957)","(1023.17017, 543.8186)","(1023.1856, 543.744)","(1023.1922, 543.6828)","(1023.19574, 543.62634)","(1023.1936, 543.5626)","(1023.197, 543.50323)","(1023.2001, 543.4933)","(1023.2024, 543.4876)"
10,"(334.37534, 519.78375)","(334.38248, 519.78906)","(334.3799, 519.78656)","(334.38858, 519.79095)","(334.3837, 519.7867)","(334.38483, 519.78894)","(334.38385, 519.78894)","(334.38727, 519.79)","(334.3831, 519.7902)","(334.38565, 519.7903)"
11,"(249.94385, 219.08754)","(249.9429, 219.0908)","(249.944, 219.0923)","(249.94267, 219.09976)","(249.94498, 219.0934)","(249.94768, 219.09557)","(249.9504, 219.09926)","(249.95152, 219.09961)","(249.93726, 219.11012)","(249.91225, 219.12122)"
12,"(674.04364, 470.29816)","(674.0448, 470.30005)","(674.0466, 470.29782)","(674.0488, 470.30304)","(674.04144, 470.30167)","(674.03546, 470.2953)","(674.03064, 470.29745)","(674.023, 470.29913)","(674.0231, 470.29828)","(674.0231, 470.2976)"
13,"(650.1801, 453.23825)","(650.1778, 453.23068)","(650.17975, 453.22546)","(650.17706, 453.22086)","(650.1781, 453.21997)","(650.1779, 453.21918)","(650.17847, 453.21982)","(650.1779, 453.21985)","(650.1689, 453.1843)","(650.16766, 453.1449)"
14,"(638.33563, 638.9472)","(638.2466, 638.98016)","(638.1269, 638.94904)","(638.0466, 639.0507)","(637.96783, 639.1419)","(637.8994, 639.2221)","(637.8323, 639.3069)","(637.7687, 639.3896)","(637.78503, 639.4134)","(637.82275, 639.434)"
15,"(815.23035, 564.14667)","(815.2815, 564.1086)","(815.33685, 564.0721)","(815.3916, 564.0267)","(815.43506, 563.9959)","(815.483, 563.9643)","(815.5352, 563.9332)","(815.57263, 563.9072)","(815.6295, 563.8739)","(815.6822, 563.8372)"
16,"(997.01886, 288.09332)","(997.0231, 288.0918)","(997.0266, 288.09317)","(997.0256, 288.09244)","(997.028, 288.1)","(997.03076, 288.1022)","(997.0335, 288.10733)","(997.03796, 288.10556)","(997.03284, 288.10822)","(997.03375, 288.106)"
17,"(611.02826, 235.84164)","(611.027, 235.84406)","(611.0257, 235.84708)","(611.0256, 235.84691)","(611.01886, 235.83957)","(611.01685, 235.83218)","(611.013, 235.82805)","(611.013, 235.82277)","(611.0133, 235.82295)","(611.01306, 235.82265)"
18,"(538.4004, 644.72754)","(538.3417, 644.74335)","(538.2794, 644.75934)","(538.21027, 644.763)","(538.0689, 644.7933)","(537.92194, 644.8208)","(537.7805, 644.854)","(537.65936, 644.88885)","(537.5602, 644.8983)","(537.4631, 644.8991)"
19,"(538.3819, 527.569)","(538.36847, 527.61884)","(538.3572, 527.67535)","(538.34717, 527.7259)","(538.2789, 527.75354)","(538.2128, 527.7817)","(538.1926, 527.85443)","(538.07336, 527.8438)","(538.0552, 527.86145)","(538.0357, 527.88116)"
20,"(313.59933, 604.04065)","(313.59726, 604.0555)","(313.5959, 604.06616)","(313.5977, 604.0786)","(313.59427, 604.07623)","(314.21707, 602.94495)","(314.0832, 602.4496)","(313.92566, 602.4887)","(313.88354, 602.58624)","(313.8575, 602.6507)"
21,"(905.66315, 325.0447)","(905.66315, 325.04443)","(905.66144, 325.04654)","(905.65936, 325.04642)","(905.66437, 325.0526)","(905.66766, 325.06696)","(905.6718, 325.0712)","(905.67645, 325.08298)","(905.6748, 325.08606)","(905.67773, 325.083)"
22,"(815.807, 618.5699)","(815.80304, 618.58673)","(815.7942, 618.59155)","(815.79944, 618.6174)","(815.7997, 618.6174)","(815.7998, 618.6172)","(815.7998, 618.61725)","(815.7998, 618.61725)","(815.7974, 618.60394)","(815.79517, 618.6092)"
23,"(360.94815, 515.1794)","(360.9607, 515.1769)","(360.97366, 515.1745)","(360.98825, 515.1715)","(360.98413, 515.17163)","(360.98053, 515.1764)","(360.97736, 515.1768)","(360.97052, 515.1813)","(360.97586, 515.1851)","(360.98343, 515.1933)"
24,"(897.28894, 335.18878)","(897.29333, 335.18716)","(897.29614, 335.1826)","(897.2997, 335.1834)","(897.31213, 335.19556)","(897.3202, 335.2074)","(897.33057, 335.21698)","(897.33563, 335.22284)","(897.3334, 335.22308)","(897.33575, 335.22275)"
25,"(532.73254, 458.10065)","(532.7324, 458.1007)","(532.7327, 458.10004)","(532.73114, 458.10034)","(532.73425, 458.0995)","(532.73474, 458.0993)","(532.7356, 458.0995)","(532.73486, 458.0999)","(532.73505, 458.0998)","(532.73456, 458.0999)"
26,"(355.40207, 641.2312)","(355.41315, 641.229)","(355.42245, 641.2248)","(355.43594, 641.2246)","(355.44006, 641.22437)","(355.4405, 641.22406)","(355.44083, 641.2241)","(355.438, 641.2236)","(355.43924, 641.2287)","(355.43893, 641.2329)"
27,"(804.84064, 709.041)","(804.8409, 709.0409)","(804.84094, 709.0403)","(804.8411, 709.04083)","(804.84033, 709.0398)","(804.8408, 709.0397)","(804.8402, 709.0399)","(804.8396, 709.0401)","(804.8347, 709.0418)","(804.83453, 709.0413)"
28,"(313.86978, 331.2765)","(313.87082, 331.27716)","(313.8701, 331.2758)","(313.86868, 331.27374)","(313.87207, 331.27777)","(313.8744, 331.28122)","(313.88184, 331.28528)","(313.88144, 331.2861)","(313.8812, 331.28793)","(313.88098, 331.28537)"
29,"(462.5404, 734.6342)","(462.54706, 734.6338)","(462.54794, 734.63556)","(462.55292, 734.63684)","(462.55292, 734.63684)","(462.5525, 734.6372)","(462.5525, 734.6372)","(462.5525, 734.6372)","(462.55222, 734.6373)","(462.55222, 734.6373)"
30,"(619.93726, 220.84647)","(619.9552, 220.8402)","(619.97595, 220.82738)","(620.00256, 220.82898)","(620.0132, 220.8123)","(620.0258, 220.81076)","(620.0365, 220.80438)","(620.04877, 220.80513)","(620.04865, 220.80241)","(620.05817, 220.809)"
